BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-SPRINT,1/29/2017,2/28/2017,UTILITIES,784.21,2017,CITI PCARD-SPRINT
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,902579,PHI & SUBSIDIARIES - PEPCO,12/7/2016,1/6/2017,UTILITIES,669.59,2017,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,902582,PHI & SUBSIDIARIES - PEPCO,12/8/2016,1/7/2017,UTILITIES,2837.75,2017,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912540,PHI & SUBSIDIARIES - PEPCO,11/7/2016,12/6/2016,UTILITIES,474.35,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912543,PHI & SUBSIDIARIES - PEPCO,11/8/2016,12/7/2016,UTILITIES,2583.16,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912544,PHI & SUBSIDIARIES - PEPCO,10/7/2016,11/6/2016,UTILITIES,439.67,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,1/26/2017,AP,901071,PHI & SUBSIDIARIES - PEPCO,10/8/2016,11/7/2016,UTILITIES,2921.04,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,1/26/2017,AP,901071,PHI & SUBSIDIARIES - PEPCO,10/8/2016,11/7/2016,UTILITIES,7788.77,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,902579,PHI & SUBSIDIARIES - PEPCO,12/7/2016,1/6/2017,UTILITIES,1785.42,2017,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,902582,PHI & SUBSIDIARIES - PEPCO,12/8/2016,1/7/2017,UTILITIES,7566.7,2017,PHI & SUBSIDIARIES - PEPCO
